id,name,category_id,part_type,engine_model,category_spec
19355,Пружина клапана наружная TY290/TY295,2,parts,,Запчасти для дизелей
19356,Пружина кручения декомпрессионного механизма TY290/295,2,parts,,Запчасти для дизелей
19357,Пусковое устройство – подшипниковое гнездо в сборе,2,parts,,Запчасти для дизелей
19358,Радиатор TY290/295 (РФ),2,parts,,Запчасти для дизелей
19359,Распылитель HZ-ZCK156S428,2,parts,,Запчасти для дизелей
19360,Распылитель ZCK/DLLA144S430,2,parts,,Запчасти для дизелей
19361,Распылитель ZCK150S430A,2,parts,,Запчасти для дизелей
19362,Ремкомплект для ТНВД TY290/TY295,2,parts,,Запчасти для дизелей
19363,Ремкомплект масляного фильтра TY290/TY295,2,filters,,Запчасти для дизелей
19364,Ремкомплект топливного фильтра TY290/295,2,filters,,Запчасти для дизелей
19365,Ручное пусковое устройство в сборе TY290/295,2,parts,,Запчасти для дизелей
19366,Сальник водяного насоса F-17 TY290/295,2,pumps,,Запчасти для дизелей
19367,Сапун TY290/295,2,parts,,Запчасти для дизелей
19368,"Свеча накала 10,5V-85 для TY290/TY295",2,parts,,Запчасти для дизелей
19369,Свеча накала 12V-70,2,parts,,Запчасти для дизелей
19370,Сетка заливной горловины фильтрующая TY290/295,2,filters,,Запчасти для дизелей
19371,Сухарь клапана TY295 (цена за комплект 2шт),2,parts,,Запчасти для дизелей
19417,Цепи противоскольжения 9.50 – 16.00 с шипами (комплект),2,parts,,"Колёса, шины, груза"
19418,Цепи противоскольжения 9.50 – 24.00 с шипами (комплект),2,parts,,"Колёса, шины, груза"
19419,Цепи противоскольжения 9.50-32.00 с шипами (комплект),2,parts,,"Колёса, шины, груза"
19420,"Цепи противоскольжения 9,5х16 (Комплект)",2,parts,,"Колёса, шины, груза"
19421,"Цепи противоскольжения 9,5х24 (Комплект)",2,parts,,"Колёса, шины, груза"
19422,"Цепи противоскольжения 9,5х32 (Комплект)",2,parts,,"Колёса, шины, груза"
19424,Колесо пневматическое (МЕТАЛЛИЧЕСКИЙ диск) универсальное 250х80,2,parts,,"Колёса, шины, груза"
19425,Покрышка Шина 11.20-24 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19427,Покрышка Шина 12.40-24 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19429,Покрышка Шина 13.60-26 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19430,Покрышка Шина 15.50-38 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19431,Покрышка Шина 4.00-10 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19432,Покрышка Шина 4.00-12 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19433,Покрышка Шина 4.00-12 (Канавка) ANTSTONE,2,parts,,"Колёса, шины, груза"
